"County","State","Population.Population Percent Change","Population.2020 Population","Population.2010 Population","Age.Percent Under 5 Years","Age.Percent Under 18 Years","Age.Percent 65 and Older","Miscellaneous.Percent Female","Ethnicities.White Alone","Ethnicities.Black Alone","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.Hispanic or Latino","Ethnicities.White Alone, not Hispanic or Latino","Miscellaneous.Veterans","Miscellaneous.Foreign Born","Housing.Housing Units","Housing.Homeownership Rate","Housing.Median Value of Owner-Occupied Units","Housing.Households","Housing.Persons per Household","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Language Other than English at Home","Education.High School or Higher","Education.Bachelor's Degree or Higher","Sales.Accommodation and Food Services Sales","Miscellaneous.Manufacturers Shipments","Sales.Retail Sales","Miscellaneous.Mean Travel Time to Work","Income.Median Houseold Income","Income.Per Capita Income","Employment.Nonemployer Establishments","Employment.Firms.Total","Employment.Firms.Men-Owned","Employment.Firms.Women-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned","Population.Population per Square Mile","Miscellaneous.Land Area"
"Ralls County","MO","0.9","10255","10167","5.2","21.8","19.3","49.6","96.8","1.2","0.3","0.4","0.1","1.2","1.2","95.7","1042","0.1","5136","81.5","108400","4044","2.5","-1","-1","89.6","13.3","-1","-1","-1","-1","47969","-1","-1","-1","-1","-1","-1","-1","-1","-1","21.6","430.59"
"Randolph County","MO","-1.3","25072","25414","5.8","22.1","15.4","47.5","90.9","5.9","0.4","0.6","0","2.2","1.9","89.3","2006","0.4","10659","71.4","84600","8925","2.59","-1","-1","84.6","13.6","-1","-1","-1","-1","37203","-1","-1","-1","-1","-1","-1","-1","-1","-1","52.7","340.86"
"Ray County","MO","-2.3","22949","23494","5.5","23.4","17.1","49.9","95.9","1.4","0.6","0.4","0.1","1.6","2.3","93.9","1853","1.2","9965","78.1","117600","8735","2.63","-1","-1","88.3","13.9","-1","-1","-1","-1","52698","-1","-1","-1","-1","-1","-1","-1","-1","-1","41.3","899.08"
"Reynolds County","MO","-1.9","6565","6696","5","20.8","22.7","48.8","95.8","0.9","0.9","0.2","0","2.2","1.5","94.6","669","0.3","4000","77.6","86100","2664","2.44","-1","-1","77.1","6.7","-1","-1","-1","-1","34496","-1","-1","-1","-1","-1","-1","-1","-1","-1","8.3","282.93"
"Ripley County","MO","-0.9","13969","14100","6.9","22.7","19.6","50.7","96.4","0.7","0.9","0.4","0","1.6","1.2","95.4","1317","0.8","6532","71.9","76200","5544","2.52","-1","-1","75.2","10.7","-1","-1","-1","-1","32291","-1","-1","-1","-1","-1","-1","-1","-1","-1","22.4","431.68"
"Saline County","MO","-0.1","23347","23370","6.3","23.1","16.6","50.3","89.5","5.2","0.8","0.8","1.1","2.5","9.8","80.9","1839","5.7","10079","67.8","85700","8764","2.48","-1","-1","82.8","17.2","-1","-1","-1","-1","39519","-1","-1","-1","-1","-1","-1","-1","-1","-1","30.9","890.33"
"Schuyler County","MO","-1.4","4370","4431","6.1","25.2","19.7","50.9","98.5","0.2","0.2","0.2","0","0.8","1.1","97.5","299","1.8","2089","71","73600","1773","2.45","-1","-1","85.9","9.8","-1","-1","-1","-1","34688","-1","-1","-1","-1","-1","-1","-1","-1","-1","14.4","1228.59"
"Scotland County","MO","0.4","4863","4843","8.3","28.3","18.9","50.7","98.5","0.1","0.3","0.2","0","0.8","0.9","97.7","306","0.4","2346","78.9","70900","1915","2.48","-1","-1","78.7","17","-1","-1","-1","-1","39028","-1","-1","-1","-1","-1","-1","-1","-1","-1","11.1","49.13"
"Scott County","MO","-0.7","38903","39191","6.9","23.9","16.5","51.4","85.7","11.7","0.3","0.5","0","1.7","2.2","83.9","3010","0.8","17023","69.2","96600","15169","2.55","-1","-1","80.3","14.6","-1","-1","-1","-1","40651","-1","-1","-1","-1","-1","-1","-1","-1","-1","93.3","891.87"
"Shannon County","MO","-1.3","8329","8441","5.5","22.2","19.6","50.1","95.8","0.4","1","0.3","0","2.5","1.8","94.2","710","0.5","4124","78.1","80300","3220","2.57","-1","-1","81","11.2","-1","-1","-1","-1","31132","-1","-1","-1","-1","-1","-1","-1","-1","-1","8.4","587.65"
"Shelby County","MO","-4.2","6108","6373","5.8","23.1","20.6","50.3","97.7","0.7","0.3","0.2","0.1","0.9","1.6","96.4","499","1","3179","71","71500","2597","2.31","-1","-1","89.5","12.7","-1","-1","-1","-1","35938","-1","-1","-1","-1","-1","-1","-1","-1","-1","12.7","847.47"
"St. Charles County","MO","5.3","379493","360485","6.1","24.3","13.2","50.9","90.7","4.7","0.3","2.5","0.1","1.8","3.1","87.9","27143","3.7","147221","80.3","189100","135974","2.64","-1","-1","93.6","35.1","-1","-1","-1","-1","71077","-1","-1","-1","-1","-1","-1","-1","-1","-1","643.2","213.84"
"St. Clair County","MO","-3.5","9457","9805","4.9","19","26.1","49.3","96.3","0.7","0.8","0.2","0","1.9","2.3","94.4","1004","0.7","5573","77.6","81600","4139","2.28","-1","-1","81.3","12.1","-1","-1","-1","-1","31539","-1","-1","-1","-1","-1","-1","-1","-1","-1","14.6","714.56"
"St. Francois County","MO","0.9","65960","65359","5.4","21.4","15.3","46.6","93.5","4.5","0.4","0.4","0.1","1.1","1.4","92.3","6026","0.8","29354","68.7","98900","24654","2.34","-1","-1","79.5","14.3","-1","-1","-1","-1","37238","-1","-1","-1","-1","-1","-1","-1","-1","-1","144.6","2001.19"
"St. Louis city","MO","-0.6","317419","319294","6.7","20.3","11.4","51.7","46.6","47.5","0.3","3.2","0","2.3","3.8","43.6","19347","6.7","175355","44.6","119200","140652","2.19","-1","-1","82.9","29.6","-1","-1","-1","-1","34582","-1","-1","-1","-1","-1","-1","-1","-1","-1","5157.5","1021.57"
"St. Louis County","MO","0.3","1001876","998954","5.8","22.3","16.5","52.6","69.9","23.9","0.2","4","0","2","2.7","67.6","70308","6.7","438081","71","174500","403293","2.43","-1","-1","92.1","40.6","-1","-1","-1","-1","58910","-1","-1","-1","-1","-1","-1","-1","-1","-1","1967.2","479.22"
"Ste. Genevieve County","MO","-1.3","17914","18145","5.7","22.2","17.3","49.5","96.2","0.9","0.3","0.3","1.2","1.1","1","95.3","1673","1.1","8638","82.2","121600","7235","2.45","-1","-1","82.1","10.7","-1","-1","-1","-1","48433","-1","-1","-1","-1","-1","-1","-1","-1","-1","36.4","608.89"
"Stoddard County","MO","-0.3","29867","29968","5.6","22.3","19","51.3","97","1.2","0.5","0.3","0","1.1","1.7","95.6","2906","0.4","13600","71.7","83800","12224","2.39","-1","-1","79.8","13.3","-1","-1","-1","-1","37965","-1","-1","-1","-1","-1","-1","-1","-1","-1","36.4","400.64"
"Stone County","MO","-3.4","31104","32202","4.2","17.6","27.4","51.1","96.8","0.5","0.7","0.4","0","1.5","2","95.2","3752","1.1","20542","78.6","145000","13320","2.37","-1","-1","84.9","15.2","-1","-1","-1","-1","40850","-1","-1","-1","-1","-1","-1","-1","-1","-1","69.4","580.69"
"Sullivan County","MO","-4.5","6411","6714","6","22.9","18.4","49.2","96","1.7","0.7","0.4","0.3","0.9","17.6","79.5","444","10","3330","69.2","74200","2640","2.46","-1","-1","82.1","12","-1","-1","-1","-1","36676","-1","-1","-1","-1","-1","-1","-1","-1","-1","10.4","801.23"
"Taney County","MO","4.9","54230","51675","5.8","21.2","19.7","51.5","94.4","1.4","0.9","1","0.1","2.1","5.5","89.6","5347","4.3","30119","63.2","129100","20698","2.45","-1","-1","84.7","18.6","-1","-1","-1","-1","38461","-1","-1","-1","-1","-1","-1","-1","-1","-1","81.7","307.14"
"Texas County","MO","-1.4","25642","26008","5.6","21.4","19.5","47.9","93","3.7","0.8","0.4","0.1","2","2.2","91.1","2703","0.7","11579","75.3","98000","9370","2.58","-1","-1","82.9","12","-1","-1","-1","-1","36082","-1","-1","-1","-1","-1","-1","-1","-1","-1","22.1","862.91"
"Vernon County","MO","-0.7","21001","21159","6.3","24.5","17.7","51.2","95.9","0.8","0.8","0.6","0.1","1.8","2","94.2","1561","1.6","9467","69.7","83700","7999","2.51","-1","-1","84.9","13.2","-1","-1","-1","-1","38679","-1","-1","-1","-1","-1","-1","-1","-1","-1","25.6","2137.07"
"Warren County","MO","2.3","33253","32513","6.2","24.4","16.6","50.1","94.6","2.4","0.5","0.6","0.1","1.8","3.2","91.9","2884","2.1","14920","79.4","151300","12572","2.57","-1","-1","84.3","16","-1","-1","-1","-1","50830","-1","-1","-1","-1","-1","-1","-1","-1","-1","75.9","801.59"
"Washington County","MO","-0.5","25077","25195","5.8","23.1","15.4","48.4","95.4","2.4","0.5","0.3","0","1.4","1.3","94.4","2288","1.1","10858","76.3","73000","9199","2.61","-1","-1","71.6","8.4","-1","-1","-1","-1","34702","-1","-1","-1","-1","-1","-1","-1","-1","-1","33.2","834.26"
"Wayne County","MO","-0.5","13452","13521","6","20.8","21.9","50.2","96.8","0.7","0.5","0.3","0","1.7","1.4","95.6","1314","0.3","7976","75.1","75100","5589","2.37","-1","-1","77.1","10.3","-1","-1","-1","-1","33159","-1","-1","-1","-1","-1","-1","-1","-1","-1","17.8","695.95"
"Webster County","MO","1.9","36888","36202","6.8","27.2","14.6","49.1","96.3","1.1","0.7","0.3","0","1.6","1.9","94.7","3036","0.8","14480","75.9","116800","12668","2.8","-1","-1","84.7","15","-1","-1","-1","-1","44596","-1","-1","-1","-1","-1","-1","-1","-1","-1","61.1","282.31"
"Worth County","MO","-4.5","2073","2171","5.9","20.4","24.3","50.1","97.6","0.8","0.3","0.3","0","1","1.3","96.5","221","0.2","1271","76.3","57900","940","2.2","-1","-1","92.9","15.6","-1","-1","-1","-1","39348","-1","-1","-1","-1","-1","-1","-1","-1","-1","8.1","561.01"
"Wright County","MO","-2.8","18291","18815","6.3","25.1","19.1","51.1","96.8","0.7","0.6","0.3","0.1","1.5","1.7","95.3","1597","2.2","8616","72.2","86700","7295","2.52","-1","-1","76.5","11.1","-1","-1","-1","-1","28645","-1","-1","-1","-1","-1","-1","-1","-1","-1","27.6","469.21"
"Adams County","MS","-1.7","31737","32297","5.8","21.2","16.7","49.5","44.6","53.4","0.4","0.5","0","1","8","37.6","2028","4.4","14617","68","80900","12087","2.54","-1","-1","78.8","17.5","-1","-1","-1","-1","27381","-1","-1","-1","-1","-1","-1","-1","-1","-1","69.8","715.58"
"Alcorn County","MS","0.9","37380","37057","6.2","23.8","17.1","51.1","85.7","12.5","0.3","0.4","0","1","3.1","82.9","2377","1.4","17106","71.1","84300","14679","2.5","-1","-1","78.5","17.4","-1","-1","-1","-1","33600","-1","-1","-1","-1","-1","-1","-1","-1","-1","92.6","451.92"
"Amite County","MS","-3.8","12629","13131","5.9","21.1","21","51.4","57.9","40.9","0.2","0.1","0","0.8","1","57.3","726","0.4","6632","85.3","70300","5212","2.49","-1","-1","74.7","11.6","-1","-1","-1","-1","30750","-1","-1","-1","-1","-1","-1","-1","-1","-1","18","437.29"
"Attala County","MS","-2","19163","19564","7","25.1","19.5","52.8","56.4","42.3","0.3","0.3","0","0.6","2","54.8","1408","1.2","9126","73.6","71200","7185","2.65","-1","-1","73.2","16","-1","-1","-1","-1","31641","-1","-1","-1","-1","-1","-1","-1","-1","-1","26.6","494.39"
"Benton County","MS","-5","8296","8729","5.2","22.4","17.9","50","62.2","36.2","0.4","0.1","0","1","2.5","60.2","412","1.1","4195","81.7","81200","3195","2.69","-1","-1","73","9.9","-1","-1","-1","-1","31060","-1","-1","-1","-1","-1","-1","-1","-1","-1","21.5","714.51"
"Bolivar County","MS","-1.1","33768","34145","7.5","25.6","13.7","53.2","33.8","64.7","0.2","0.7","0.1","0.6","2.2","32.3","1434","1.5","14301","56.4","83500","12301","2.64","-1","-1","73.8","21.2","-1","-1","-1","-1","28599","-1","-1","-1","-1","-1","-1","-1","-1","-1","39","3587.48"
"Calhoun County","MS","-1.5","14745","14962","6.3","24.2","17.6","51.9","70.5","28","0.2","0.1","0","1.1","5.6","65.5","805","3.2","6923","70.5","61500","5944","2.46","-1","-1","68.2","9.5","-1","-1","-1","-1","30000","-1","-1","-1","-1","-1","-1","-1","-1","-1","25.5","572.74"
"Carroll County","MS","-3.2","10254","10597","4.3","19.8","21","49","64.7","34","0.2","0.2","0","0.9","1.3","63.9","466","0.7","5060","83.2","68800","3757","2.72","-1","-1","78.2","12.3","-1","-1","-1","-1","31039","-1","-1","-1","-1","-1","-1","-1","-1","-1","16.9","465.88"
"Chickasaw County","MS","-0.5","17313","17392","6.8","25","15.6","51.9","54.2","43.9","0.3","0.4","0.1","1","3.9","51.2","657","1.5","7507","73.2","64600","6614","2.58","-1","-1","72","10","-1","-1","-1","-1","31061","-1","-1","-1","-1","-1","-1","-1","-1","-1","34.7","557.12"
"Choctaw County","MS","-3","8294","8547","5.6","22.5","19.2","51.6","68.6","29.5","0.3","0.3","0.1","1.2","1.3","67.7","632","0.1","4154","71.4","70600","3378","2.43","-1","-1","78.3","12.6","-1","-1","-1","-1","29876","-1","-1","-1","-1","-1","-1","-1","-1","-1","20.4","466.07"
"Claiborne County","MS","-5.4","9080","9604","6.1","21.9","14.3","52.5","14.3","84.1","0.2","0.7","0","0.8","1.2","13.8","341","0.8","4221","80","54500","3190","2.84","-1","-1","80.9","18.6","-1","-1","-1","-1","23689","-1","-1","-1","-1","-1","-1","-1","-1","-1","19.7","320.68"
"Clarke County","MS","-2.6","16299","16732","5.5","23.1","18.5","52.7","64.4","34.2","0.4","0.2","0","0.7","1.1","63.5","1359","0.3","7874","84.1","59900","6305","2.62","-1","-1","77","11.7","-1","-1","-1","-1","31362","-1","-1","-1","-1","-1","-1","-1","-1","-1","24.2","624.44"
"Clay County","MS","-2","20225","20634","6.1","24.2","16.3","53","40.2","58.6","0.2","0.2","0","0.7","1.4","39.4","1220","0.5","9194","71.3","80600","7750","2.61","-1","-1","79.1","17.9","-1","-1","-1","-1","30764","-1","-1","-1","-1","-1","-1","-1","-1","-1","50.3","308.44"
"Coahoma County","MS","-5.1","24807","26151","8.2","27.6","13.3","53.9","23.5","74.9","0.1","0.7","0","0.7","1.5","22.6","1198","0.5","10750","53.3","55600","9464","2.66","-1","-1","76.6","17.5","-1","-1","-1","-1","26407","-1","-1","-1","-1","-1","-1","-1","-1","-1","47.3","570.86"
"Copiah County","MS","-2.2","28797","29449","6.4","23.6","15.4","51.6","47.1","51.4","0.2","0.4","0","1","2.8","44.9","1785","2.3","12113","76.3","74100","9897","2.83","-1","-1","79.6","13.5","-1","-1","-1","-1","35421","-1","-1","-1","-1","-1","-1","-1","-1","-1","37.9","557.88"
"Covington County","MS","-0.7","19442","19568","7.1","24.8","17","51.1","62.6","35.9","0.2","0.3","0.1","1","2.1","61.2","1460","0.3","8505","83","71800","7036","2.73","-1","-1","76.5","14.2","-1","-1","-1","-1","33381","-1","-1","-1","-1","-1","-1","-1","-1","-1","47.3","411.62"
"DeSoto County","MS","6","170913","161252","6.3","26.7","11.8","51.5","71.9","24.9","0.3","1.4","0.1","1.4","4.9","67.5","11011","3.6","63932","75.1","152600","57979","2.82","-1","-1","88.6","21.6","-1","-1","-1","-1","58505","-1","-1","-1","-1","-1","-1","-1","-1","-1","338.7","954.99"
"Forrest County","MS","1.9","76330","74934","6.8","23.1","12.7","52.2","60","37","0.4","1.1","0.1","1.4","3.2","57.5","5360","2.8","32602","56.5","117500","27822","2.58","-1","-1","83.8","27","-1","-1","-1","-1","36726","-1","-1","-1","-1","-1","-1","-1","-1","-1","160.7","9887.53"
"Franklin County","MS","-3.5","7833","8118","5.6","24.5","17.8","51.2","63.2","35.5","0.2","0.1","0","0.9","0.8","62.7","589","0.3","4157","79.6","63700","3311","2.39","-1","-1","81.1","11.3","-1","-1","-1","-1","32372","-1","-1","-1","-1","-1","-1","-1","-1","-1","14.4","2.53"
"George County","MS","3.2","23303","22578","7.3","26.2","14.5","49.5","89.8","8.5","0.4","0.3","0","0.9","2.2","87.8","1630","1.8","9357","84.2","94400","7842","2.83","-1","-1","83.8","10.3","-1","-1","-1","-1","43958","-1","-1","-1","-1","-1","-1","-1","-1","-1","47.2","9.88"
"Greene County","MS","-0.5","14326","14400","4.8","20","12.9","40.5","71.5","27.2","0.4","0.1","0","0.8","1","70.6","1153","0.8","5123","87.4","83200","4117","2.74","-1","-1","75.7","7.8","-1","-1","-1","-1","36888","-1","-1","-1","-1","-1","-1","-1","-1","-1","20.2","742.93"
"Grenada County","MS","-1.1","21666","21906","6.2","23.7","16.6","52.7","56","42.4","0.2","0.4","0","0.9","1.2","55.2","1095","0.4","10188","73.5","86500","7941","2.69","-1","-1","78.4","14.7","-1","-1","-1","-1","34129","-1","-1","-1","-1","-1","-1","-1","-1","-1","51.9","542.15"
"Hancock County","MS","4.4","45949","43929","5.4","22.1","17.3","50.9","87.8","8.4","0.6","1.1","0.1","2","3.6","84.7","4397","3.6","23604","75.3","133900","18145","2.43","-1","-1","85.4","22","-1","-1","-1","-1","44522","-1","-1","-1","-1","-1","-1","-1","-1","-1","92.7","589.08"
"Harrison County","MS","6.4","199058","187105","7","24.3","13.2","50.4","69.8","24","0.5","3","0.1","2.5","5.4","65.3","22647","4.5","89749","61","143000","72253","2.57","-1","-1","85.6","20.7","-1","-1","-1","-1","43124","-1","-1","-1","-1","-1","-1","-1","-1","-1","326","1544.98"
"Hinds County","MS","-0.7","243729","245285","6.7","25.2","12.1","53.2","27.3","70.8","0.2","0.8","0","0.9","1.6","26.2","14001","1.9","104082","59.3","106400","87844","2.71","-1","-1","85.1","27.4","-1","-1","-1","-1","37626","-1","-1","-1","-1","-1","-1","-1","-1","-1","282","976.88"
"Holmes County","MS","-5.2","18459","19198","7.7","26.8","13.5","52.2","16.6","82.2","0.1","0.5","0","0.6","0.9","16.4","574","0.2","8415","71","49000","6511","2.81","-1","-1","71.4","12.7","-1","-1","-1","-1","22325","-1","-1","-1","-1","-1","-1","-1","-1","-1","25.4","9200.14"
"Humphreys County","MS","-6.8","8741","9375","7.4","27.4","14.2","52.9","23.5","75","0.1","0.4","0.1","1","2.5","22","499","0.8","3832","54.3","63000","3107","2.95","-1","-1","64.1","10.9","-1","-1","-1","-1","23600","-1","-1","-1","-1","-1","-1","-1","-1","-1","22.4","526.98"
"Issaquena County","MS","-0.6","1397","1406","3.2","15","13.7","40.6","35","63.9","0.4","0.6","0","0.1","0.9","34.4","85","0","558","67.5","60800","461","2.38","-1","-1","56.4","5.3","-1","-1","-1","-1","24767","-1","-1","-1","-1","-1","-1","-1","-1","-1","3.4","520.31"
"Itawamba County","MS","0.5","23527","23401","6","21.9","17.4","50.9","91.9","6.8","0.3","0.3","0","0.7","1.4","90.7","1526","0.2","10167","79","79300","8859","2.53","-1","-1","76.7","13.5","-1","-1","-1","-1","36073","-1","-1","-1","-1","-1","-1","-1","-1","-1","43.9","1399.35"
"Jackson County","MS","1.1","141137","139668","5.9","24.2","14.2","50.9","73.3","22.1","0.4","2.3","0.1","1.8","5.5","68.5","14074","3.5","61115","70.8","123300","50007","2.77","-1","-1","86.3","19.6","-1","-1","-1","-1","48943","-1","-1","-1","-1","-1","-1","-1","-1","-1","193.2","742.29"
"Jasper County","MS","-2.7","16601","17062","6.8","23.5","18","51.3","46.4","52.4","0.2","0.2","0.1","0.7","1.2","45.6","1001","0.6","8217","79.3","72700","7015","2.38","-1","-1","76.6","12.9","-1","-1","-1","-1","31170","-1","-1","-1","-1","-1","-1","-1","-1","-1","25.2","597.01"
"Jefferson County","MS","-1.7","7599","7726","6.8","23.2","13.9","50.2","14.1","85.1","0.2","0","0.1","0.5","0.5","14","304","0","3677","71.5","61500","2520","2.84","-1","-1","79.7","19.9","-1","-1","-1","-1","26028","-1","-1","-1","-1","-1","-1","-1","-1","-1","14.9","1584.55"
"Jefferson Davis County","MS","-5.3","11822","12487","5.9","21","19.3","52.4","38.7","59.9","0.3","0.2","0","0.9","1.2","37.9","600","0.8","5879","78.8","78300","4895","2.48","-1","-1","78","14.4","-1","-1","-1","-1","27186","-1","-1","-1","-1","-1","-1","-1","-1","-1","30.6","366"
"Jones County","MS","0.8","68290","67761","7.2","25.6","15.5","51.4","68.7","29.3","0.6","0.5","0","0.9","4.3","65.1","4596","3.2","28638","73.5","84200","24677","2.69","-1","-1","78.7","16.8","-1","-1","-1","-1","38074","-1","-1","-1","-1","-1","-1","-1","-1","-1","97.5","554.53"
"Kemper County","MS","-2.8","10163","10456","4.3","20.8","17.2","49.8","35.1","60.4","3.5","0.2","0","0.8","0.8","34.7","579","0.8","4732","76.1","65500","3605","2.64","-1","-1","75.9","10.4","-1","-1","-1","-1","29003","-1","-1","-1","-1","-1","-1","-1","-1","-1","13.6","572.36"
"Lafayette County","MS","11.8","52930","47351","5.4","18.1","11.3","51.2","72","23.7","0.3","2.6","0.1","1.2","2.3","70.2","2287","2.9","23978","59.4","163000","15743","2.77","-1","-1","86.3","37.2","-1","-1","-1","-1","43328","-1","-1","-1","-1","-1","-1","-1","-1","-1","75","396.3"
"Lamar County","MS","7.9","60099","55658","6.9","25.8","11.6","51.8","76.4","20.6","0.3","1.3","0.1","1.2","2.5","74.4","3884","2.2","24261","65.8","163900","21678","2.6","-1","-1","90.3","33.1","-1","-1","-1","-1","51154","-1","-1","-1","-1","-1","-1","-1","-1","-1","112","944.29"
"Lauderdale County","MS","-0.7","79739","80261","6.4","24","15.1","51.6","54.8","42.9","0.3","0.8","0.1","1.1","2.2","53.2","6565","1.8","34945","66.1","87400","29809","2.56","-1","-1","84.1","18.9","-1","-1","-1","-1","36203","-1","-1","-1","-1","-1","-1","-1","-1","-1","114.1","343.01"
"Lawrence County","MS","-3.3","12502","12929","6.1","24","16.2","51","67","31.4","0.3","0.3","0","0.9","1.9","65.6","1067","0.2","6034","80","79600","4830","2.63","-1","-1","82.3","12.9","-1","-1","-1","-1","38393","-1","-1","-1","-1","-1","-1","-1","-1","-1","30","436.92"
"Leake County","MS","-2.6","23193","23805","6.7","28","14.4","47.9","50","41.9","6.7","0.3","0","0.9","4.2","47.7","1334","2.5","9419","75.5","73800","8069","2.77","-1","-1","74.9","10.7","-1","-1","-1","-1","32521","-1","-1","-1","-1","-1","-1","-1","-1","-1","40.8","542.38"
"Lee County","MS","2.8","85246","82910","7","25.8","14.3","52.2","69","28.7","0.2","0.8","0","1.2","2.5","66.9","5227","2","36216","70.9","108300","31898","2.59","-1","-1","82.9","21.8","-1","-1","-1","-1","42074","-1","-1","-1","-1","-1","-1","-1","-1","-1","184.3","403.76"
"Leflore County","MS","-2.8","31422","32317","7.4","27","12.6","51.9","25.5","72.7","0.4","0.7","0","0.7","2.5","24","1052","3.1","13162","50.7","69200","10887","2.77","-1","-1","73.2","19","-1","-1","-1","-1","24480","-1","-1","-1","-1","-1","-1","-1","-1","-1","54.5","1182.33"
"Lincoln County","MS","-0.3","34775","34869","6.3","24.7","15.6","52.2","67.7","31","0.2","0.4","0","0.7","1.1","66.9","2037","0.8","15274","74","84900","13045","2.62","-1","-1","82.8","16.8","-1","-1","-1","-1","36498","-1","-1","-1","-1","-1","-1","-1","-1","-1","59.5","498.16"
"Lowndes County","MS","-0.1","59730","59779","6.7","24.1","14.4","52.4","53.9","44","0.2","0.7","0.1","1.1","1.9","52.5","5251","1.9","27014","62.1","115700","23178","2.51","-1","-1","82","21.4","-1","-1","-1","-1","37868","-1","-1","-1","-1","-1","-1","-1","-1","-1","118.3","380.88"
"Madison County","MS","6.8","101688","95203","6.5","25.6","12.3","52.1","58.1","38.3","0.4","2.4","0.1","0.8","2.8","55.9","5516","4","41147","70.3","201200","36342","2.63","-1","-1","89.2","45.8","-1","-1","-1","-1","59904","-1","-1","-1","-1","-1","-1","-1","-1","-1","133.2","1448.82"
"Marion County","MS","-4.5","25868","27088","6.5","24.2","16.6","51.7","66","32.4","0.2","0.3","0","1","1.4","64.9","1646","0.3","11840","74.7","77900","9985","2.58","-1","-1","74.3","13.2","-1","-1","-1","-1","29400","-1","-1","-1","-1","-1","-1","-1","-1","-1","49.9","1808.4"
"Marshall County","MS","-2.4","36234","37144","5.9","22.1","15","50.6","50.9","47.6","0.3","0.3","0","0.9","3.3","48.1","2207","1.5","15038","79.5","83700","13050","2.67","-1","-1","73.9","11.2","-1","-1","-1","-1","36022","-1","-1","-1","-1","-1","-1","-1","-1","-1","52.6","455.6"
"Monroe County","MS","-2.7","36003","36989","5.6","23","17.6","52","67.8","30.8","0.3","0.2","0","0.9","1.1","67","2385","0.3","16443","77.3","78500","13960","2.6","-1","-1","76.7","13.1","-1","-1","-1","-1","36308","-1","-1","-1","-1","-1","-1","-1","-1","-1","48.3","565.84"
"Montgomery County","MS","-4.8","10400","10925","6.2","22.9","19","52.2","53.2","45.5","0.2","0.3","0","0.7","1.2","52.4","767","0.1","5419","74.5","68600","4229","2.51","-1","-1","72.7","13.1","-1","-1","-1","-1","30466","-1","-1","-1","-1","-1","-1","-1","-1","-1","26.8","572.5"
"Neshoba County","MS","-0.7","29465","29676","7.4","28.1","14.7","52.2","60.4","21.2","16.4","0.4","0","1.5","2","59.1","1721","1.1","12359","73.2","75900","10829","2.69","-1","-1","77.2","12.6","-1","-1","-1","-1","37050","-1","-1","-1","-1","-1","-1","-1","-1","-1","52.1","386.79"
"Newton County","MS","0.5","21832","21720","6.8","25.4","16.2","52","63.4","30.3","4.9","0.4","0","0.9","1.7","62.2","1839","1","9371","77.6","72100","7931","2.64","-1","-1","83.3","14.7","-1","-1","-1","-1","39190","-1","-1","-1","-1","-1","-1","-1","-1","-1","37.6","443.63"
"Noxubee County","MS","-3.7","11115","11545","6.9","25.3","15.7","51.9","26.9","71.7","0.2","0.3","0","0.8","1.1","26.2","379","1.2","5167","71.8","59000","4194","2.66","-1","-1","65.5","11.2","-1","-1","-1","-1","24338","-1","-1","-1","-1","-1","-1","-1","-1","-1","16.6","900.18"
"Oktibbeha County","MS","3.7","49414","47671","5.4","18","10.3","50.4","58.2","37.2","0.2","3.2","0.1","1.1","1.7","56.8","2216","3.7","21292","51.7","129200","18176","2.42","-1","-1","86.4","42.6","-1","-1","-1","-1","30987","-1","-1","-1","-1","-1","-1","-1","-1","-1","104","301.25"
"Panola County","MS","-0.7","34444","34707","7.2","25.9","14.2","51.7","48.7","49.7","0.3","0.2","0","1","1.8","47.5","1901","0.2","14718","76.3","77500","11928","2.86","-1","-1","75.8","14.3","-1","-1","-1","-1","35715","-1","-1","-1","-1","-1","-1","-1","-1","-1","50.7","1775.07"
"Pearl River County","MS","-0.9","55224","55834","5.9","23.3","17.2","50.5","84.4","12.8","0.6","0.5","0.1","1.7","3","81.7","4982","1.7","24552","77.6","111600","20556","2.65","-1","-1","83.2","13.2","-1","-1","-1","-1","42510","-1","-1","-1","-1","-1","-1","-1","-1","-1","68.9","706.19"
"Perry County","MS","-0.2","12227","12250","6.2","23.6","17.2","51.4","77.9","20.2","0.4","0.2","0","1.2","1.3","76.9","917","0.3","5521","84.9","81200","4483","2.69","-1","-1","80","8.2","-1","-1","-1","-1","36124","-1","-1","-1","-1","-1","-1","-1","-1","-1","18.9","371.08"
"Pike County","MS","-0.9","40058","40404","7","26.6","15.6","52.6","45.7","52.5","0.3","0.6","0","0.8","1.3","44.9","2235","1.2","17891","70.1","82200","14614","2.7","-1","-1","78.2","15.8","-1","-1","-1","-1","34841","-1","-1","-1","-1","-1","-1","-1","-1","-1","98.8","375.46"
"Pontotoc County","MS","3.3","30950","29957","6.8","26.6","13.9","50.4","82.2","15.6","0.6","0.3","0","1.3","6.3","77","1528","2.5","12551","78.2","80000","9937","3.01","-1","-1","76.4","12","-1","-1","-1","-1","39899","-1","-1","-1","-1","-1","-1","-1","-1","-1","60.2","543.46"
