"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone	 not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Income.Median Houseold Income","Income.Per Capita Income","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2020 Population","Population.2010 Population","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Retail Sales","Employment.Firms.Total","Employment.Firms.Women-Owned","Employment.Firms.Men-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned"
"Boone County","IL","14.35","25.8333333333333","5.68333333333333","20","85.8666666666666","505","0.633333333333333","1.41666666666666","2.71666666666666","20.9666666666666","0.1","2.13333333333333","93","73.9833333333333","82.25","18043","19993","157900","2.97666666666666","62289","5323","11.1333333333333","402.844999999999","2.56666666666666","14.0833333333333","984361.166666666","3.95","50.1666666666666","3335","53799","54165","193","6970","65904","761","253","403","96","642","60","667"
"Boone County","IN","12.8","26.8333333333333","6.56666666666666","42.3833333333333","93.5333333333333","933","0.3","2.48333333333333","1.6","2.7","0","1.43333333333333","94.1","91.6999999999999","76.85","22504","25675","188116","2.60833333333333","69892","8048","3.58333333333333","670.11","0.0999999999999998","13.3333333333333","-1","3.46666666666666","50.4666666666666","3317","63397","56640","133.9","11897","189651","996","336","501","25","931","87","837"
"Boone County","KY","11.6833333333333","27.05","7.08333333333333","30.6833333333333","92.1","1364","0.2","2.65","3.3","4.06666666666666","0.116666666666666","1.86666666666666","91.8666666666666","88.3","75.3333333333333","43878","48387","175550","2.77666666666666","69075","5997","4.7","296.076666666666","0.383333333333333","13.2166666666666","844953.833333333","3.2","50.4166666666666","8619","128005","118811","482.3","-1","427439","1480","433","815","127","1257","133","1235"
"Boone County","MO","10.8833333333333","20.4833333333333","5.96666666666666","47.0999999999999","93.25","2060","0.416666666666666","4.5","9.63333333333333","3.25","0.1","2.86666666666666","82.3999999999999","79.7333333333333","56.85","66477","74204","166116","2.38166666666666","49743","5068","6.4","738.868333333333","0.533333333333333","11.8666666666666","340343.666666666","2.21666666666666","51.5833333333333","9608","174532","162642","237.3","62194","623495","2554","802","1376","240","2165","210","2167"
"Boone County","NE","21.9","23.0333333333333","5.68333333333333","15.0166666666666","93.3999999999999","89","0.3","0.316666666666666","0.416666666666666","1.78333333333333","0","0.716666666666666","98.25","96.7833333333333","76.8666666666666","2253","2642","90566","2.35666666666666","46868","5503","1.08333333333333","584","-0.566666666666666","14.2333333333333","-1","1.91666666666666","49.9","491","5357","5505","8","529","14307","134","23","64","-1","129","13","104"
"Boone County","WV","17.4833333333333","22.1166666666666","5.58333333333333","8.7","76.2","110","0.116666666666666","0.1","0.616666666666666","0.516666666666666","0","0.633333333333333","98.45","97.9333333333333","76.9333333333333","9455","11060","76584","2.54","41920","3624","0.133333333333333","82.7566666666666","-0.766666666666666","14.3166666666666","-1","4.7","50.2833333333333","1716","23397","24629","49.1","-1","37896","150","67","67","7","132","20","120"
"Borden County","TX","21.6","21.3166666666666","5.16666666666666","33.3333333333333","92.5333333333333","10","0.883333333333333","0.2","0.65","17.0666666666666","-0.166666666666666","2.7","95.5833333333333","80.4833333333333","68.2166666666666","225","386","108883","2.85","71703","5670","1.43333333333333","985.548333333333","1.83333333333333","14.5499999999999","-1","3.39999999999999","46.8333333333333","48","649","641","0.7","-1","-1","10","5","3","-1","9","-1","9"
"Bosque County","TX","24.15","21.6666666666666","5.38333333333333","16.1333333333333","82.75","264","0.9","0.6","2.03333333333333","17.4","0.0166666666666666","1.6","94.9333333333333","78.6833333333333","76.9833333333333","7045","9661","95950","2.50666666666666","45976","4438","6.23333333333333","5415.805","1.35","13.45","19198.8333333333","4.06666666666666","50.5166666666666","1777","17855","18212","18.5","1682","15111","258","81","157","13","232","60","189"
"Bossier Parish","LA","13.15","25.2","7.28333333333333","25.2","88.0333333333333","1502","0.683333333333333","1.81666666666666","21.9333333333333","6.48333333333333","0.183333333333333","2.33333333333333","73.1333333333333","67.5666666666666","66.4","46376","54755","150650","2.55833333333333","53418","4793","4.25","501.968333333333","0.166666666666666","13.7833333333333","151962","2.88333333333333","50.4333333333333","12036","125677","116979","139.3","111164","320556","1592","536","833","316","1194","203","1274"
"Botetourt County","VA","20.4666666666666","19.9","3.86666666666666","25.4666666666666","90.6333333333333","391","0.3","0.716666666666666","3.46666666666666","1.55","0","1.25","94.2666666666666","93.0333333333333","87.8","12898","14757","215533","2.54","66797","5981","1.96666666666666","89.3666666666666","-0.366666666666666","14.1166666666666","135325.666666666","3.83333333333333","50.55","3119","33182","33148","61.2","-1","53562","432","123","266","28","391","46","371"
