"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone, not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Income.Median Houseold Income","Income.Per Capita Income","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2020 Population","Population.2010 Population","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Retail Sales","Employment.Firms.Total","Employment.Firms.Women-Owned","Employment.Firms.Men-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned"
"Plumas County","CA","24.7","17.2","4.4","22.6","89.9","-1","3.2","1.1","1.2","8.4","0.1","3.5","90.9","84","69.7","8997","15692","243700","2.13","45794","-1","5.1","539.94","-1","-1","-1","-1","49.8","2276","18606","20007","7.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Riverside County","CA","13.2","26.3","6.8","20.5","79.6","-1","1.9","6.8","7","47.4","0.4","3.4","80.5","37.4","66.5","683144","819936","231000","3.21","56529","-1","21.9","180.17","-1","-1","-1","-1","50.3","135139","2329271","2189641","303.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Sacramento County","CA","12.8","24.4","6.7","28","85.9","-1","1.5","15.8","10.9","22.5","1.2","6","64.6","46.6","56.7","517243","561842","234200","2.72","55064","-1","19.9","205.61","-1","-1","-1","-1","51.1","94398","1482026","1418788","1470.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"San Benito County","CA","11.4","26.8","6.7","18.2","76.9","-1","3.1","3.5","1.3","58.3","0.4","3.3","88.4","36","61.6","16995","18113","343000","3.28","66237","-1","20.1","293.96","-1","-1","-1","-1","49.8","2715","58267","55269","39.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"San Bernardino County","CA","10.3","27.2","7.3","18.7","78.2","-1","2","7.3","9.5","51.7","0.5","3.4","77.3","30.6","61.9","603879","708297","222300","3.33","54090","-1","21.1","1147.4","-1","-1","-1","-1","50.2","104576","2112619","2035210","101.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"San Diego County","CA","12.7","22.3","6.6","34.6","85.5","-1","1.3","11.9","5.6","33.2","0.6","4.3","76.3","46.7","53.8","1076483","1187625","402100","2.83","62962","-1","23.4","649.23","-1","-1","-1","-1","49.8","234211","3263431","3095313","735.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"San Francisco County","CA","14.4","13.4","4.6","52.4","86.3","-1","0.8","34.9","5.8","15.3","0.5","4.2","53.8","41.2","36.6","345344","386564","744600","2.31","75604","-1","35.6","328.76","-1","-1","-1","-1","49.1","29478","852469","805235","17179.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"San Joaquin County","CA","11.8","27.8","7.3","18.1","77.3","-1","2","15.9","8.1","40.5","0.7","5.2","68.1","34","58.3","215563","237542","208000","3.14","53380","-1","23.1","506.37","-1","-1","-1","-1","50.2","35277","715597","685306","492.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"San Luis Obispo County","CA","17.5","18.1","4.8","31.5","89.6","-1","1.4","3.8","2.2","22","0.2","3.4","89","69.5","58.4","102154","119143","426600","2.5","58697","-1","10.4","442.36","-1","-1","-1","-1","49.1","21244","279083","269637","81.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"San Mateo County","CA","14.7","21.5","6.1","44.4","88.6","-1","0.9","27.7","3","25.3","1.6","4.4","62.5","40.4","59.4","257941","273539","722200","2.79","88202","-1","34","1357.7","-1","-1","-1","-1","50.8","32332","758581","718451","1602.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Santa Barbara County","CA","14","22.4","6.4","31.3","79.1","-1","2.2","5.7","2.4","44.4","0.2","3.5","85.9","45.9","52.6","141720","154401","453000","2.89","62779","-1","23.4","585.45","-1","-1","-1","-1","49.9","26102","440668","423895","155","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Santa Clara County","CA","12.2","23.1","6.5","46.5","86.5","-1","1.3","34.9","2.9","26.6","0.5","4","56.4","33.3","57.5","609377","651156","645600","2.92","91702","-1","37.1","492.41","-1","-1","-1","-1","49.7","66749","1894605","1781642","1381","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Santa Cruz County","CA","13.5","20.1","5.6","37","84.9","-1","1.8","4.8","1.4","33.2","0.2","4.1","87.7","58.2","58.8","93504","105275","557500","2.72","66519","-1","18.3","567.17","-1","-1","-1","-1","50.4","12471","271804","262382","589.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Shasta County","CA","19.2","21.6","5.8","18.8","88.4","-1","3.1","3","1.1","9.4","0.2","4.2","88.5","80.9","64.2","68980","77915","220000","2.54","44651","-1","5.2","435.48","-1","-1","-1","-1","51","17765","179804","177223","46.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Sierra County","CA","26.8","15.7","3.3","18.5","89.4","-1","1.9","0.5","0.4","9.7","0.1","2.3","94.8","86.2","77.8","1253","2341","231400","2.45","39009","-1","7.1","1015.66","-1","-1","-1","-1","50","440","3003","3240","3.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Siskiyou County","CA","22.7","20.3","5.4","23.9","89","-1","4.7","1.3","1.4","11.9","0.3","5","87.2","77.5","62.7","19417","24106","200800","2.26","37709","-1","5.4","6183.73","-1","-1","-1","-1","50.3","4744","43628","44900","7.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Solano County","CA","13.5","22.9","6","24.3","87.2","-1","1.3","15.6","14.8","25.6","1","6.7","60.6","39.6","61.7","141464","154981","262400","2.85","67177","-1","20.1","900","-1","-1","-1","-1","50.3","34948","431131","413344","503","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Sonoma County","CA","16.7","20.6","5.3","32.2","86.7","-1","2.2","4.3","1.9","26.1","0.4","3.8","87.4","64.6","60.1","185660","207232","407400","2.57","63356","-1","16.6","503.84","-1","-1","-1","-1","51","33151","500292","483878","307.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Stanislaus County","CA","12.1","27.3","7.3","16.4","76.4","-1","1.9","5.9","3.3","44.1","0.9","3.9","84.1","44.3","58.1","166883","180278","172900","3.07","49297","-1","20.5","553.1","-1","-1","-1","-1","50.5","25311","531997","514453","344.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Sutter County","CA","14.5","26.4","6.7","18.7","78.3","-1","2.3","16.5","2.5","29.9","0.4","4.3","74","47.8","59.6","31725","34096","188500","2.95","50408","-1","22.7","13.01","-1","-1","-1","-1","50.3","6740","95847","94737","157.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Tehama County","CA","17.8","24","6.2","13.5","81.1","-1","3.4","1.4","1","24.1","0.2","3.4","90.7","69.4","67.5","23374","27239","177100","2.66","41924","-1","8.9","1192.54","-1","-1","-1","-1","50.2","5608","63067","63463","21.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Trinity County","CA","24","16.9","4.9","21.3","91.3","-1","5.3","0.9","0.5","7.3","0.2","5.2","87.9","82.6","71.2","5668","8784","257400","2.35","36890","-1","3.4","493.05","-1","-1","-1","-1","49","1648","13170","13786","4.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Tulare County","CA","10.4","31.6","8.9","13.3","68","-1","2.8","4","2.2","62.9","0.2","2.4","88.3","30.3","57.5","131642","145503","163100","3.35","42708","-1","22.8","943.36","-1","-1","-1","-1","49.9","18289","458198","442179","91.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Tuolumne County","CA","23.5","16.8","4.2","19.5","89.1","-1","2.2","1.3","2.1","11.5","0.2","3.3","90.8","81.1","69.9","22025","31361","269400","2.31","48426","-1","4.8","33.03","-1","-1","-1","-1","47.8","5375","53831","55365","24.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Ventura County","CA","13.6","24.2","6.4","31.4","82.8","-1","1.9","7.5","2.2","42","0.3","3.3","84.8","46.6","64.9","267076","284504","442200","3.06","76544","-1","22.8","1209.79","-1","-1","-1","-1","50.5","47834","846178","823318","446.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Yolo County","CA","11.5","21.7","5.8","37.9","84.3","-1","1.8","13.8","3","31.5","0.6","5","75.9","48.3","52.9","70347","76720","314300","2.76","55918","-1","21.7","305.61","-1","-1","-1","-1","51.3","10321","207590","200849","197.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Yuba County","CA","11.4","27.8","8.1","13.7","79","-1","3","7.3","4","27.2","0.5","5.9","79.4","56.6","59.1","24300","28015","171000","2.93","44902","-1","12.3","311.98","-1","-1","-1","-1","49.2","6420","73966","72155","114.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Adams County","CO","9.6","27.7","7.6","20.9","81.4","-1","2.1","4.1","3.7","38.8","0.2","2.9","87","51.9","65.6","152803","166243","186600","2.93","56270","-1","14.9","570.87","-1","-1","-1","-1","49.6","27662","480718","441603","378.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Alamosa County","CO","12.6","23.9","7.7","24.2","84.7","-1","5.5","1.6","1.9","45.5","0.3","3","87.8","49.5","61.5","5891","6684","137300","2.51","34520","-1","6.7","611.09","-1","-1","-1","-1","49.6","1121","16177","15445","21.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Arapahoe County","CO","11.9","24.5","6.5","38.8","91.4","-1","1.1","5.6","10.9","18.8","0.2","3.7","78.3","62.1","62.7","225552","243745","230700","2.58","60651","-1","14.9","1221.33","-1","-1","-1","-1","50.7","42954","618821","572003","716.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Archuleta County","CO","22.9","18.3","4.9","32.9","91.7","-1","3.3","1.1","0.5","18.6","0.1","2.4","92.7","76.9","73.7","4881","8943","279700","2.45","48933","-1","3.3","490.02","-1","-1","-1","-1","49.9","1162","12244","12084","8.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Baca County","CO","25.7","21.3","6.6","17.2","87.3","-1","2","0.4","1.1","10.5","0","2.1","94.4","85.5","74.4","1651","2232","73500","2.2","38829","-1","2.8","944.43","-1","-1","-1","-1","50.1","330","3645","3788","1.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Bent County","CO","16.9","16.2","3.7","8.8","79.4","-1","3.2","1.3","7.2","31.8","0.1","1.7","86.5","58","63.5","1873","2217","75500","2.17","37340","-1","5.9","529.71","-1","-1","-1","-1","35.6","614","5630","6499","4.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Boulder County","CO","12.2","20.3","5","58.3","93.9","-1","0.8","4.5","1.1","13.8","0.1","2.6","90.8","78.3","63.1","120521","130938","350900","2.42","67956","-1","10.9","566.17","-1","-1","-1","-1","49.8","15432","313333","294567","405.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Broomfield County","CO","12.2","24.7","6","47.5","94.9","-1","0.8","6.3","1.4","12","0.1","2.5","88.8","78","68.3","22016","25900","275900","2.59","77998","-1","8.6","435.97","-1","-1","-1","-1","50.4","3824","62138","55889","1691.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Chaffee County","CO","23","15.8","4","33.9","91.1","-1","1.5","0.8","1.7","10.2","0.1","1.5","94.4","85.4","76.2","7832","10319","262300","2.15","46504","-1","3.5","904.47","-1","-1","-1","-1","47.2","2264","18363","17809","17.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Cheyenne County","CO","18.2","25","8.3","21.3","87","-1","1.3","0.6","0.7","12.7","0.1","1","96.3","84.3","76.5","839","970","81700","2.55","51641","-1","8.5","571.02","-1","-1","-1","-1","48.5","137","1871","1836","1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Clear Creek County","CO","17.9","15.4","3.8","39.8","96.6","-1","1.2","0.8","0.9","5.5","0.1","1.6","95.3","90.7","81.3","4024","5690","268500","2.21","67259","-1","4","408.03","-1","-1","-1","-1","48","903","9187","9088","23","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Conejos County","CO","17.4","27.1","6.5","19.1","82.6","-1","3.7","0.6","0.7","54.1","0.2","2.3","92.5","43.5","77.3","3099","4293","109700","2.64","34526","-1","3.1","502.76","-1","-1","-1","-1","50.2","502","8265","8256","6.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Costilla County","CO","25.8","18.2","3.9","19.5","76.5","-1","5.6","1.4","1.9","64.3","0.4","2.4","88.3","32","79.6","1361","2686","93800","2.61","29145","-1","10.3","579.66","-1","-1","-1","-1","47.6","445","3568","3524","2.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Crowley County","CO","13","14.3","4.3","12.3","75.2","-1","3.4","1.4","9.3","30.3","0.1","1.8","84","56.4","79.6","1173","1547","78800","3.4","31477","-1","5.7","604.31","-1","-1","-1","-1","30.2","453","5360","5823","7.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Custer County","CO","29","14.6","2.5","32.7","94.6","-1","0.8","0.6","1.2","5.3","0","1.6","95.9","91.2","80.6","2048","4167","216200","2.06","32427","-1","2.1","574.92","-1","-1","-1","-1","49.1","790","4361","4255","5.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Delta County","CO","23.5","20.9","5.1","18.3","87.8","-1","1.3","0.8","0.7","14.7","0.1","1.8","95.2","82.2","75.7","12671","14485","191200","2.33","42078","-1","4.5","6.7","-1","-1","-1","-1","50.1","3493","29870","30952","27.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Denver County","CO","10.9","20.9","6.8","42.9","85.4","-1","2","3.8","10.2","30.8","0.2","3.1","80.7","53.4","50.2","266069","298864","249100","2.27","50313","-1","15.8","968.11","-1","-1","-1","-1","50","34001","663862","600158","3922.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Dolores County","CO","22","20.4","4.9","18.4","88.8","-1","3.6","0.3","0.3","5.1","0.1","2.6","93.2","88.6","80.8","780","1450","121800","2.19","37750","-1","1.1","671.64","-1","-1","-1","-1","48","169","1978","2064","1.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Douglas County","CO","9.9","28.3","6.3","55.8","97.5","-1","0.5","4.3","1.4","8.3","0.1","2.4","91.3","83.9","80.9","103780","113777","335600","2.82","101591","-1","6.4","297.02","-1","-1","-1","-1","50.3","19635","314638","285465","339.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Eagle County","CO","8.1","23.2","6.1","47","88.7","-1","1.4","1.2","1","30","0.1","1.2","95.1","67.1","66","17966","31528","453300","2.9","74456","-1","19.2","672.81","-1","-1","-1","-1","47","1763","52921","52197","31","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"El Paso County","CO","11.5","25.1","6.9","35.2","93.6","-1","1.3","3","7","16.3","0.4","4.6","83.7","70.3","63.7","237039","262154","213500","2.6","57125","-1","7.2","622.81","-1","-1","-1","-1","49.6","81330","663519","622263","292.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Elbert County","CO","13.9","22.5","3.9","29.6","96.6","-1","0.8","1","0.8","6.4","0.2","1.9","95.4","89.7","90.4","8240","9084","333600","2.81","82118","-1","4.1","869.03","-1","-1","-1","-1","49.8","2328","24195","23086","12.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Fremont County","CO","20.3","16.5","4","15.6","84.1","-1","1.9","0.8","4","13","0.1","1.7","91.5","79.4","70.7","16938","19223","159500","2.1","39943","-1","4","826.97","-1","-1","-1","-1","42.3","5491","46502","46824","30.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Garfield County","CO","10.7","25.9","7.1","26.6","85.2","-1","1.8","0.8","1.2","28.1","0.2","1.9","94.2","68.8","64.8","20163","23361","302700","2.76","57022","-1","15","659.03","-1","-1","-1","-1","48.9","3465","57461","56389","19.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Gilpin County","CO","13.2","18.7","3.8","29.1","94.4","-1","1.2","1.5","1.8","6.4","0.3","2.2","93.1","87.4","75.5","2504","3581","281700","2.16","63885","-1","2.6","994.26","-1","-1","-1","-1","47.3","722","5851","5441","36.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Grand County","CO","13.9","18.4","4.2","32.8","94.4","-1","0.8","0.9","0.5","8","0.1","2","95.6","88.8","74.9","5227","16724","282000","2.72","64664","-1","4.7","821.85","-1","-1","-1","-1","47","1467","14546","14843","8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Gunnison County","CO","11.2","17.9","4.8","54.5","93.3","-1","2.5","0.7","0.5","9.3","0","1.8","94.5","87.5","59.1","6293","11574","329500","2.27","52332","-1","4.3","491.58","-1","-1","-1","-1","45.9","1031","15725","15324","4.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Hinsdale County","CO","25.7","18.7","6.2","42.2","93.8","-1","1.1","0.6","0.5","3.7","0","1.8","95.9","92.6","78.9","388","1413","261700","2.06","56667","-1","1.7","776.83","-1","-1","-1","-1","48.2","111","786","843","0.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Huerfano County","CO","29.7","15.5","3.8","28","84.7","-1","5.4","1.1","1","34.4","0.2","3","89.3","61.7","72.5","3059","5128","152400","2","33298","-1","4.8","580.13","-1","-1","-1","-1","49.6","832","6462","6711","4.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Jackson County","CO","20.9","17.8","3.4","22.2","88.7","-1","1.7","0.4","0.1","11","0","1.9","95.9","86.3","72.2","648","1290","123200","2.08","43606","-1","3","1429.86","-1","-1","-1","-1","46.7","145","1396","1394","0.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Jefferson County","CO","14.7","20.9","5.3","40.7","93.7","-1","1.2","2.8","1.3","15.2","0.1","2.3","92.2","78.8","70.6","219562","233275","262400","2.42","68984","-1","6.2","426.09","-1","-1","-1","-1","50.3","42215","558503","534543","699.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Kiowa County","CO","24.1","20.5","6.4","20.6","92.2","-1","0.9","0","0.7","6.3","0.3","1.5","96.6","91.4","72.8","559","811","79400","2.49","40813","-1","2.7","694.67","-1","-1","-1","-1","50.8","83","1402","1398","0.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Kit Carson County","CO","17.2","22.5","6.2","13.5","84","-1","1.1","0.6","2.5","19.3","0.2","1.5","94.1","76.1","65.8","3046","3514","121600","2.43","44157","-1","9","584.91","-1","-1","-1","-1","44.8","799","8072","8270","3.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"La Plata County","CO","14.2","19.4","5.1","41.4","94.2","-1","6.8","0.8","0.6","12.6","0.1","2.5","89.2","79.2","66.5","20947","26475","339400","2.39","58080","-1","3.5","467.06","-1","-1","-1","-1","49.2","3963","53989","51334","30.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Lake County","CO","11","23.1","6.5","28.1","86.8","-1","2.6","0.6","0.7","37.8","0.1","2.2","93.9","59.2","65.6","3079","4273","164400","2.33","44610","-1","15","788.6","-1","-1","-1","-1","46.7","516","7357","7310","19.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Larimer County","CO","13.9","20.5","5.4","43.8","94.4","-1","1","2.2","1.1","11.1","0.1","2.4","93.2","83.5","65.6","121423","138534","247100","2.45","58626","-1","5.4","1636.46","-1","-1","-1","-1","50.2","22809","324122","299630","115.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Las Animas County","CO","22.3","19","5.1","16.3","84.3","-1","3.5","1.1","1.8","42.5","0.1","2.1","91.4","52.7","69.4","5992","8244","151500","2.43","42261","-1","3.2","2231.67","-1","-1","-1","-1","48.4","1221","14052","15507","3.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Lincoln County","CO","17.4","19.7","5.6","15.6","81.5","-1","1.1","1","5.6","13.4","0.1","1.7","90.6","78.4","68.3","1845","2427","115000","2.11","41910","-1","5.4","184.39","-1","-1","-1","-1","40.9","486","5510","5467","2.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Logan County","CO","15.7","18.8","5","15.8","88.7","-1","1.6","0.9","4.3","16.1","0.1","1.5","91.6","76.9","69.4","8015","8952","119800","2.68","40415","-1","5.7","1164.81","-1","-1","-1","-1","43.5","1999","22524","22709","12.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Mesa County","CO","16.9","22.4","6.3","25.7","89.6","-1","1.5","0.9","1","14.1","0.1","2.2","94.2","82","71.7","58598","63779","210100","2.45","49471","-1","4.1","1278.29","-1","-1","-1","-1","50.3","13870","148255","146723","44.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Mineral County","CO","26.5","12.6","4.7","39.3","96.5","-1","0.9","0.4","0.4","4.4","0","1.1","97.1","92.8","83.7","393","1225","275000","1.85","47083","-1","1.1","878.54","-1","-1","-1","-1","47.6","111","698","712","0.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Moffat County","CO","12.9","25.9","6.9","15.6","89.2","-1","1.5","0.8","0.5","14.3","0.1","1.9","95.2","82.2","75.9","5062","6162","176500","2.61","53231","-1","5.6","1020.01","-1","-1","-1","-1","48.1","1193","12928","13795","2.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Montezuma County","CO","19.1","22.7","6.2","27.3","89.9","-1","13","0.9","0.5","12.2","0.1","2.4","83.1","73.2","70.5","10688","11981","189400","2.36","43188","-1","2.3","1063.66","-1","-1","-1","-1","50.3","2319","25772","25535","12.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Montrose County","CO","21.3","22.5","5.6","24.5","85.7","-1","1.8","0.8","0.7","20.2","0.3","2","94.3","76.5","73.1","16586","18338","193700","2.44","45718","-1","7.3","344.79","-1","-1","-1","-1","50.8","3280","40873","41276","18.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Morgan County","CO","15.4","26.4","7.6","15.1","78.8","-1","1.6","0.7","3.1","35.3","0.3","1.5","92.8","60.1","63.5","10446","11474","137000","2.65","43774","-1","12.6","426.39","-1","-1","-1","-1","50.2","1638","28328","28159","22","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Otero County","CO","19","24.3","6.5","15.5","83","-1","3.6","0.9","1.2","41","0.2","2.7","91.4","55.4","64.7","7427","8881","91800","2.45","33848","-1","4.1","545.26","-1","-1","-1","-1","50.4","1615","18488","18831","14.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Ouray County","CO","24.6","17","3.4","47.5","98.4","-1","0.5","0.6","0.2","5.5","0.1","1.8","96.8","91.9","75.4","1943","3151","383900","2.3","64601","-1","2.9","529.43","-1","-1","-1","-1","50.9","551","4629","4436","8.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Park County","CO","16.2","16.7","3.7","32","95.6","-1","1.3","1.1","0.6","6.2","0","2.3","94.6","89.5","88.5","7038","14171","247300","2.27","61570","-1","3.4","648.86","-1","-1","-1","-1","47.3","1992","16345","16206","7.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Phillips County","CO","20.8","24","6.1","16.8","85.6","-1","0.8","0.6","1","20.6","0.1","1.4","96.1","76.6","69.2","1668","2088","132700","2.59","43011","-1","12.2","605.87","-1","-1","-1","-1","50.4","343","4363","4442","6.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Pitkin County","CO","15.6","16.3","3.7","56.8","96","-1","0.5","1.4","0.8","9.9","0.1","1.5","95.7","86.5","68.7","7507","13039","611200","2.27","72745","-1","12.2","628.58","-1","-1","-1","-1","47.6","950","17626","17148","17.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Prowers County","CO","16.1","26.2","6.9","14.1","79.2","-1","1.8","0.4","0.8","36.4","0","1.7","95.3","61","65.8","4935","5885","86100","2.45","34391","-1","12.5","567.33","-1","-1","-1","-1","49.9","1010","12034","12551","7.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Pueblo County","CO","17.1","23.2","6","21.5","87.1","-1","3","1","2.5","42.5","0.2","2.5","90.8","52.9","65.7","62439","70054","138700","2.49","41777","-1","4","280.37","-1","-1","-1","-1","50.7","15351","161875","159063","66.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Rio Blanco County","CO","13.7","24.6","6.8","23.1","91.3","-1","1.5","0.5","1.1","11.1","0.1","2.4","94.2","84.1","68.8","2638","3346","200400","2.24","60128","-1","6.8","569.97","-1","-1","-1","-1","48.1","556","6707","6666","2.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Rio Grande County","CO","18.6","23.9","6.3","20.3","84.1","-1","3.3","0.5","0.7","44.2","0","2","93.4","53","67.4","4722","6617","129500","2.46","38993","-1","7","253.83","-1","-1","-1","-1","50.1","1000","11607","11982","13.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Routt County","CO","12.3","19.2","4.4","48","96.9","-1","0.6","0.8","0.6","7","0.1","1.5","96.4","90.1","70.6","9647","16387","390100","2.38","62002","-1","3.5","706.23","-1","-1","-1","-1","47.6","1171","23865","23509","10","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Saguache County","CO","18.9","22.5","6.4","23.8","78","-1","3","0.9","0.8","38.3","0","2.7","92.7","57.4","66.9","2692","3930","135400","2.29","34600","-1","11","586.57","-1","-1","-1","-1","49.5","521","6196","6108","1.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"San Juan County","CO","20.4","13.6","2.1","24.8","94.4","-1","1","1.3","0.1","14.2","0","2.8","94.9","82.1","59.8","321","757","242300","2.05","39583","-1","3.2","506.84","-1","-1","-1","-1","43.1","60","720","699","1.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"San Miguel County","CO","10.4","18.9","4.7","53.5","96.1","-1","1.4","0.9","0.7","9.6","0.1","1.6","95.3","87.1","64.4","3234","6736","448000","2.31","63594","-1","8.4","899.37","-1","-1","-1","-1","46.9","396","7840","7359","5.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Sedgwick County","CO","24.4","20.3","5.2","15","86.8","-1","1","1.4","0.5","15.1","0","1.7","95.4","82.1","68.6","943","1408","81400","2.47","40221","-1","3.2","834.58","-1","-1","-1","-1","50","230","2348","2379","4.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Summit County","CO","10.8","16.3","4.6","47.7","95.7","-1","1.1","1","1","14.7","0.1","1.4","95.4","82.3","65.9","11138","30405","460000","2.48","63697","-1","11.9","385.02","-1","-1","-1","-1","45.9","1417","29404","27994","46","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Teller County","CO","18","18.5","3.8","31.6","93.6","-1","1.2","0.9","0.7","6.2","0.1","2.4","94.7","89.6","81.4","9434","12742","226900","2.44","59040","-1","2.4","318.24","-1","-1","-1","-1","49.1","3349","23389","23350","41.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Washington County","CO","20.8","22","5.1","18.5","90.4","-1","0.3","0.4","0.8","9.5","0.1","1.4","97","88","73.3","2019","2414","110500","2.27","44683","-1","2.5","213.15","-1","-1","-1","-1","48.5","433","4780","4814","1.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
